lambda | avr equal loss | fin equal loss | fin loss 
1e-06 | 2.4187942290306093 | 2.4432551860809326 | 0.00032103288685902953
1e-05 | 2.4057861304283144 | 2.430183172225952 | 0.0003443465393502265
0.0001 | 2.3119330286979674 | 2.335202693939209 | 0.0004702518926933408
0.001 | 1.2543746614456177 | 1.2665445804595947 | 0.0006268993020057678
0.01 | 0.2773256325721741 | 0.27998924255371094 | 0.00041727296775206923
0.05 | 0.05438836693763733 | 0.054926395416259766 | 0.00028036118601448834
0.1 | 0.03818448841571808 | 0.03839772939682007 | 0.00034988936386071146
0.5 | 0.023716351389884947 | 0.023900091648101807 | 0.00033694293233565986
1 | 0.013087733909487724 | 0.013214111328125 | 0.000201350572751835
10 | 0.004937923047691584 | 0.0049788206815719604 | 0.0002969817433040589
50 | 0.004700099974870682 | 0.004748985171318054 | 0.0006281115929596126
100 | 0.007260675877332688 | 0.007333695888519287 | 0.0011891501490026712
200 | 0.0017607147246599198 | 0.0017640739679336548 | 0.0014936606166884303
300 | 0.0021464608539827168 | 0.0021339207887649536 | 0.0020121640991419554
400 | 0.001442023057024926 | 0.0014151183422654867 | 0.0014685335336253047
500 | 0.0015983546117786318 | 0.001569993793964386 | 0.0016827849904075265
600 | 0.0016715407057199627 | 0.0016258880496025085 | 0.002247617579996586
700 | 0.0017588412179611623 | 0.0016596689820289612 | 0.003082035109400749
800 | 0.0018020654632709921 | 0.0017561167478561401 | 0.0037328358739614487
900 | 0.0019139556644950063 | 0.0019249990582466125 | 0.00428386777639389
1000.0 | 0.00205370795330964 | 0.002066411077976227 | 0.004799128044396639
1500 | 0.0026172982901334764 | 0.002645544707775116 | 0.01028626598417759
2500 | 0.0035477315727621317 | 0.003563983365893364 | 0.016892215237021446
5000 | 0.003959298133850098 | 0.0040045976638793945 | 0.024579830467700958
100000.0 | 0.06981837213039398 | 0.07041728496551514 | 0.8370282053947449
1000000.0 | 0.9901913380622864 | 1.0001939535140991 | 99.3719253540039
10000000.0 | 0.9900362211465835 | 1.0000364780426025 | 99.41007232666016
